{'cpu': 12.5, 'memory': 62.9, 'disk': 10.8}
{'cpu': 11.4, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.7, 'memory': 62.9, 'disk': 10.8}
{'cpu': 11.6, 'memory': 62.9, 'disk': 10.8}
{'cpu': 11.2, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.7, 'memory': 62.9, 'disk': 10.8}
{'cpu': 19.5, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.3, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.7, 'memory': 62.9, 'disk': 10.8}
{'cpu': 11.8, 'memory': 62.9, 'disk': 10.8}
{'cpu': 13.8, 'memory': 63.0, 'disk': 10.8}
{'cpu': 14.2, 'memory': 63.0, 'disk': 10.8}
{'cpu': 9.4, 'memory': 63.0, 'disk': 10.8}
{'cpu': 10.2, 'memory': 63.0, 'disk': 10.8}
{'cpu': 13.4, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.8, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.8, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.2, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.8, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.4, 'memory': 63.0, 'disk': 10.8}
{'cpu': 13.2, 'memory': 62.9, 'disk': 10.8}
{'cpu': 13.1, 'memory': 63.0, 'disk': 10.8}
{'cpu': 13.7, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.7, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.0, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.2, 'memory': 63.0, 'disk': 10.8}
{'cpu': 14.0, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.7, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.8, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.1, 'memory': 62.9, 'disk': 10.8}
{'cpu': 12.7, 'memory': 63.0, 'disk': 10.8}
{'cpu': 11.9, 'memory': 63.0, 'disk': 10.8}
{'cpu': 12.3, 'memory': 63.0, 'disk': 10.8}
